Banner,UPC,Northern California,New York,Kansas,Texas
Trader Joes,136528713,15.59,13.79,,13.39
Wegmans,136528713,,14.09,13.59,13.69
Safeway,136528713,16.39,,,14.09
Whole Foods,136528713,,15.39,1.99,
Walmart,136528713,,13.1,12.65,
Safeway,142231691,,,13.29,13.39
Whole Foods,142231691,,14.59,1.99,14.19
Trader Joes,142231691,14.79,13.09,,12.79
Wegmans,142231691,,13.39,,12.99
Walmart,142231691,,12.53,12.04,12.16
Wegmans,142252924,,,,29.19
Whole Foods,142252924,36.99,32.89,1.99,
Walmart,142252924,,28.04,26.9,27.21
Safeway,142252924,34.99,,29.79,30.09
Trader Joes,142252924,33.29,29.49,,28.59
Walmart,144575642,18.54,,15.86,15.96
Whole Foods,144575642,21.69,19.19,1.99,
Safeway,144575642,,,17.49,17.69
Wegmans,144575642,,17.69,16.99,17.09
Trader Joes,144575642,,17.29,16.59,16.79
Safeway,144644625,65.69,,55.99,56.59
Whole Foods,144644625,,61.69,1.99,
Walmart,144644625,,52.6,50.51,51.17
Trader Joes,144644625,,,53.29,53.79
Wegmans,144644625,,,54.39,54.89
Safeway,145210517,57.59,,49.09,
Whole Foods,145210517,,54.09,1.99,52.49
Trader Joes,145210517,,48.59,,47.19
Wegmans,145210517,,49.59,,48.09
Walmart,145210517,,46.17,44.32,44.74
Whole Foods,146021511,,50.19,1.99,48.69
Trader Joes,146021511,,,43.29,
Safeway,146021511,,,45.59,45.99
Walmart,146021511,,42.84,,41.56
Wegmans,146021511,,45.99,,44.69
Trader Joes,151145905,,,,25.89
Wegmans,151145905,,27.19,26.19,26.39
Whole Foods,151145905,,29.69,1.99,
Walmart,151145905,,25.35,24.32,24.61
Safeway,151145905,,,26.99,27.19
Wegmans,151287985,,20.39,,19.79
Safeway,151287985,23.69,,20.19,
Walmart,151287985,,19.01,18.36,
Whole Foods,151287985,,22.29,1.99,
Trader Joes,151287985,,19.99,,19.49
Trader Joes,152181269,,,38.49,38.89
Walmart,152181269,42.9,,,36.97
Safeway,152181269,,,40.49,40.89
Wegmans,152181269,,40.89,,39.69
Whole Foods,152181269,,44.59,1.99,43.29
Wegmans,152398257,,5.89,,
Trader Joes,152398257,,5.79,,5.59
Walmart,152398257,,5.57,,
Whole Foods,152398257,7.19,6.39,1.99,6.19
Safeway,152398257,,,5.79,5.89
Whole Foods,152458350,22.19,19.69,1.99,
Wegmans,152458350,,17.99,,17.49
Walmart,152458350,18.94,16.87,16.15,16.37
Safeway,152458350,,,17.89,17.99
Walmart,154602616,28.97,,,24.93
Trader Joes,154602616,30.49,,,26.29
Wegmans,154602616,,27.59,,26.79
Whole Foods,154602616,,30.09,1.99,29.19
Safeway,154602616,32.09,,27.29,27.59
Trader Joes,157129774,7.89,6.99,6.69,6.79
Safeway,157129774,8.29,,7.09,7.09
Whole Foods,157129774,,7.79,1.99,
Walmart,157129774,,6.72,6.47,
Wegmans,157129774,,7.09,6.89,6.89
Walmart,157966725,18.67,16.64,15.92,
Whole Foods,157966725,,19.39,1.99,18.79
Trader Joes,157966725,,,16.79,
Safeway,157966725,,,17.59,17.79
Wegmans,157966725,,17.79,,17.29
Wegmans,158953776,,59.99,,58.19
Walmart,158953776,62.86,55.75,53.5,54.11
Trader Joes,158953776,,,,56.99
Safeway,158953776,69.59,,59.29,59.99
Whole Foods,158953776,73.69,65.39,1.99,63.49
Wegmans,160430177,,59.69,57.39,57.89
Trader Joes,160430177,,58.49,,56.79
Safeway,160430177,,,59.09,
Walmart,160430177,62.51,55.53,53.3,53.84
Whole Foods,160430177,73.39,65.09,,63.19
Trader Joes,161076622,,,55.59,56.09
Safeway,161076622,,,,58.99
Whole Foods,161076622,72.59,64.39,1.99,
Walmart,161076622,61.84,54.91,52.72,
Wegmans,161076622,,58.99,56.69,57.29
Wegmans,161725486,,37.09,,35.99
Safeway,161725486,,,36.69,37.09
Trader Joes,161725486,40.99,36.39,34.89,35.29
Walmart,161725486,,34.55,,33.55
Whole Foods,161725486,,40.49,1.99,39.29
Safeway,162045248,,,56.99,57.59
Whole Foods,162045248,70.79,62.79,1.99,60.99
Trader Joes,162045248,63.59,,,54.79
Wegmans,162045248,,57.59,,55.89
Walmart,162045248,,53.62,,52.02
Safeway,162356142,,,47.59,48.09
Wegmans,162356142,,,46.19,46.69
Trader Joes,162356142,,47.09,,45.69
Whole Foods,162356142,59.09,52.49,1.99,50.89
Walmart,162356142,50.45,44.76,43.02,43.46
Safeway,163383455,,,,5.79
Whole Foods,163383455,,6.29,1.99,6.09
Wegmans,163383455,,5.79,,5.59
Trader Joes,163383455,,5.69,,5.49
Walmart,163383455,6.02,5.45,5.21,5.23
Wegmans,163809044,,36.69,35.29,35.59
Safeway,163809044,,,36.29,36.69
Trader Joes,163809044,,35.89,34.49,34.89
Whole Foods,163809044,45.09,39.99,1.99,38.79
Walmart,163809044,,,32.85,
Whole Foods,164485660,46.29,41.09,1.99,
Walmart,164485660,,35.0,33.63,34.04
Safeway,164485660,,,37.29,37.69
Wegmans,164485660,,37.69,36.19,36.59
Trader Joes,164485660,41.59,,,35.79
Trader Joes,165254790,,32.19,,31.29
Wegmans,165254790,,32.89,,31.89
Whole Foods,165254790,40.39,,,
Walmart,165254790,,30.61,29.47,29.74
Safeway,165254790,,,32.59,32.89
Wegmans,165324638,,59.69,,57.89
Whole Foods,165324638,,65.09,1.99,63.19
Trader Joes,165324638,,,,56.79
Walmart,165324638,,55.53,53.36,
Safeway,165324638,,,59.09,59.69
Walmart,165526080,,3.42,3.31,
Whole Foods,165526080,,3.99,1.99,
Trader Joes,165526080,,3.59,3.39,3.49
Safeway,165526080,,,3.59,3.59
Wegmans,165526080,,3.59,,3.49
Whole Foods,165559469,,33.69,1.99,
Safeway,165559469,,,30.59,30.89
Wegmans,165559469,,30.89,29.69,29.99
Walmart,165559469,32.41,28.84,27.66,27.96
Trader Joes,165559469,,,,29.39
Safeway,169472387,,,48.59,48.99
Whole Foods,169472387,,53.49,1.99,51.89
Trader Joes,169472387,,,46.19,46.59
Walmart,169472387,,45.66,,44.21
Wegmans,169472387,,48.99,47.09,47.59
Safeway,171059624,,,34.49,
Wegmans,171059624,,34.79,,33.79
Whole Foods,171059624,42.79,37.99,1.99,
Walmart,171059624,,32.44,31.15,
Trader Joes,171059624,,,,33.09
Wegmans,171858013,,29.49,28.29,28.59
Walmart,171858013,,27.41,,26.64
Whole Foods,171858013,36.19,32.09,1.99,
Safeway,171858013,,,29.19,29.49
Trader Joes,171858013,,,27.79,27.99
Wegmans,172380215,,38.99,37.49,37.89
Whole Foods,172380215,,42.59,1.99,
Safeway,172380215,,,38.59,38.99
Walmart,172380215,,36.34,,35.26
Trader Joes,172380215,43.09,38.19,36.69,37.09
Wegmans,173173585,,44.49,42.69,43.19
Safeway,173173585,,,43.99,44.49
Walmart,173173585,46.64,41.33,39.75,
Whole Foods,173173585,,48.49,1.99,47.09
Trader Joes,173173585,,,,42.29
Walmart,174429227,,41.05,,39.82
Whole Foods,174429227,54.19,48.09,1.99,46.69
Wegmans,174429227,,,,42.79
Trader Joes,174429227,48.69,,,41.89
Trader Joes,176351627,60.09,,,
Whole Foods,176351627,66.89,,1.99,
Safeway,176351627,,,53.79,54.39
Walmart,176351627,,50.51,48.65,49.17
Wegmans,176351627,,54.39,,52.79
Wegmans,177925497,,47.49,45.69,46.09
Safeway,177925497,,,47.09,47.49
Whole Foods,177925497,,,1.99,50.29
Trader Joes,177925497,52.49,46.59,,45.19
Walmart,178923336,,13.4,,
Whole Foods,178923336,17.69,15.69,1.99,
Trader Joes,178923336,,,,13.69
Safeway,178923336,,,14.29,14.39
Wegmans,178923336,,14.39,,13.99
Whole Foods,182310151,41.29,36.69,1.99,35.59
Trader Joes,182310151,37.09,,,
Walmart,182310151,35.25,31.35,,30.37
Safeway,182310151,,,33.29,33.59
Wegmans,182310151,,33.59,32.29,32.59
Walmart,186497742,,24.1,,23.47
Whole Foods,186497742,,28.29,1.99,27.39
Safeway,186497742,30.09,,25.59,
Trader Joes,186497742,28.59,25.39,,24.59
Wegmans,186497742,,25.89,,
Wegmans,187405236,,41.69,,40.49
Walmart,187405236,43.73,38.87,,
Whole Foods,187405236,51.29,45.49,1.99,44.19
Safeway,187405236,48.39,,41.29,41.69
Trader Joes,187405236,46.09,,,39.69
Walmart,189054973,,32.82,31.5,31.84
Safeway,189054973,40.89,,34.89,35.29
Whole Foods,189054973,,38.49,1.99,
Wegmans,189054973,,35.29,33.89,34.19
Trader Joes,189054973,,34.59,33.19,33.49
Whole Foods,189565540,53.89,,1.99,
Wegmans,189565540,,43.79,42.09,42.59
Trader Joes,189565540,,42.99,,41.69
Safeway,189565540,,,43.39,43.79
Walmart,189565540,45.9,40.81,39.25,
Whole Foods,193724353,,46.79,1.99,45.39
Wegmans,193724353,,42.89,,41.69
Trader Joes,193724353,,,,40.79
Safeway,193724353,,,42.49,42.89
Walmart,193724353,45.01,39.97,,38.72
Walmart,193736714,,53.12,51.02,
Wegmans,193736714,,57.19,54.89,55.49
Safeway,193736714,,,56.59,57.19
Whole Foods,193736714,,62.29,1.99,
Trader Joes,193736714,63.09,55.99,,54.39
Wegmans,196109651,,37.89,,36.79
Safeway,196109651,43.99,,37.49,
Trader Joes,196109651,41.89,37.09,,35.99
Walmart,196109651,39.72,,,34.21
Whole Foods,196109651,46.59,41.29,1.99,40.09
Walmart,196407931,,7.75,7.41,7.51
Wegmans,196407931,,8.29,,7.99
Trader Joes,196407931,,8.09,,7.89
Whole Foods,196407931,,8.99,1.99,8.69
Trader Joes,197321036,32.59,,,28.09
Safeway,197321036,,,,29.49
Whole Foods,197321036,,32.19,1.99,
Wegmans,197321036,,,,28.69
Walmart,197321036,,27.53,26.43,26.75
Trader Joes,198082596,0.69,0.59,,
Whole Foods,198082596,0.69,0.69,1.99,0.59
Wegmans,198082596,,0.59,,0.59
Safeway,198082596,,,,0.59
Walmart,200021055,2.42,2.21,,2.13
Whole Foods,200021055,2.79,,1.99,
Safeway,200021055,,,2.29,
Wegmans,200021055,,2.29,2.19,
Trader Joes,200021055,,2.29,,2.19
Wegmans,200253393,,50.99,,49.49
Safeway,200253393,,,50.49,50.99
Walmart,200253393,,47.41,45.62,46.02
Whole Foods,200253393,,55.69,,53.99
Trader Joes,200253393,56.39,,,48.49
Safeway,200282631,,,26.99,
Walmart,200282631,28.55,25.33,,
Whole Foods,200282631,,29.69,1.99,
Wegmans,200282631,,,,26.49
Whole Foods,200809424,55.49,49.29,1.99,
Trader Joes,200809424,,,42.49,42.99
Wegmans,200809424,,45.19,43.39,43.79
Walmart,200809424,47.33,42.03,,
Safeway,200809424,,,44.69,45.19
Safeway,201346142,,,45.79,46.19
Walmart,201346142,,,41.3,
Whole Foods,201346142,,50.39,1.99,
Wegmans,201346142,,46.19,44.39,44.89
Safeway,204071291,,,28.79,29.09
Walmart,204071291,,27.1,,26.34
Whole Foods,204071291,,31.69,,30.79
Trader Joes,204071291,,,,27.69
Wegmans,204071291,,29.09,27.99,28.29
Safeway,205698731,,,3.69,3.69
Whole Foods,205698731,,3.99,1.99,3.89
Wegmans,205698731,,3.69,,3.59
Trader Joes,205698731,,3.59,,3.49
Walmart,205698731,3.97,3.55,3.35,3.46
Wegmans,205812283,,41.09,39.49,39.89
Safeway,205812283,47.69,,,41.09
Whole Foods,205812283,,44.79,1.99,
Trader Joes,205812283,,40.19,,39.09
Walmart,205812283,43.05,38.23,36.7,
Walmart,207648093,,,,7.43
Whole Foods,207648093,9.99,,1.99,8.59
Wegmans,207648093,,8.09,7.79,7.89
Trader Joes,207648093,8.99,7.99,7.69,
Safeway,207648093,9.39,,8.09,
Walmart,212886542,,33.93,,32.96
Wegmans,212886542,,36.49,34.99,
Trader Joes,212886542,,,34.29,34.69
Safeway,212886542,42.29,,,36.49
Whole Foods,212886542,44.79,39.79,1.99,38.59
Safeway,213048650,22.29,,18.99,19.19
Trader Joes,213048650,,,18.09,18.29
Wegmans,213048650,,19.19,,18.59
Walmart,213048650,,17.96,,
Whole Foods,213048650,,20.89,,
Safeway,213387822,,,35.29,35.69
Whole Foods,213387822,43.89,38.89,1.99,37.79
Trader Joes,213387822,39.39,34.99,,33.99
Wegmans,213387822,,35.69,,34.69
Walmart,213387822,37.47,33.21,,32.22
Safeway,214212433,,,53.89,54.49
Trader Joes,214212433,,,51.29,51.79
Whole Foods,214212433,,59.39,1.99,
Wegmans,214212433,,54.49,,52.89
Walmart,214212433,,,48.72,
Trader Joes,215480572,,,,15.69
Walmart,215480572,17.35,15.35,14.75,14.93
Safeway,215480572,19.09,,16.29,16.49
Whole Foods,215480572,20.19,17.99,1.99,17.39
Wegmans,215480572,,16.49,,15.99
Whole Foods,217512347,33.89,30.09,1.99,29.19
Walmart,217512347,,25.76,24.7,24.95
Wegmans,217512347,,27.59,,26.79
Trader Joes,217512347,,,25.99,26.29
Walmart,218294289,,52.24,50.11,
Wegmans,218294289,,56.09,,54.49
Trader Joes,218294289,,54.99,52.89,53.39
Whole Foods,218294289,68.99,61.19,1.99,59.39
Safeway,218294289,,,55.59,56.09
Wegmans,218958254,,12.09,,11.69
Whole Foods,218958254,14.79,13.09,1.99,12.79
Safeway,218958254,13.99,,11.89,12.09
Trader Joes,218958254,13.29,,,11.49
Walmart,218958254,,11.2,,
Wegmans,220433295,,20.79,,
Safeway,220433295,24.09,,20.59,20.79
Trader Joes,220433295,22.89,20.29,,19.69
Whole Foods,220433295,,22.59,1.99,21.99
Walmart,220433295,21.7,19.32,18.55,18.74
Wegmans,220677427,,60.09,,58.39
Walmart,220677427,,,53.77,
Safeway,220677427,,,59.49,60.09
Trader Joes,220677427,,,56.59,57.19
Whole Foods,220677427,,65.59,1.99,63.69
Wegmans,221349675,,37.89,36.39,36.79
Trader Joes,221349675,41.79,37.09,,35.99
Safeway,221349675,,,37.49,37.89
Walmart,221349675,,35.26,,34.23
Whole Foods,221349675,,41.29,1.99,40.09
Whole Foods,222180587,,9.89,1.99,
Wegmans,222180587,,9.09,,8.79
Safeway,222180587,,,8.99,9.09
Trader Joes,222180587,,,8.49,8.59
Walmart,222633181,40.51,35.96,34.51,
Safeway,222633181,,,38.19,38.59
Trader Joes,222633181,,,,36.69
Wegmans,222633181,,38.59,37.09,37.49
Whole Foods,222633181,,42.09,1.99,
Whole Foods,223905761,57.79,51.29,1.99,49.79
Walmart,223905761,49.34,43.72,,
Trader Joes,223905761,,,,44.69
Wegmans,223905761,,46.99,45.19,45.69
Safeway,223905761,,,,46.99
Trader Joes,224558960,,,48.29,48.79
Walmart,224558960,53.8,47.74,45.84,
Safeway,224558960,59.59,,50.79,51.29
Whole Foods,224558960,,55.99,1.99,54.39
Wegmans,224558960,,51.29,,49.79
Walmart,226008184,9.23,8.16,,7.95
Whole Foods,226008184,,9.49,,
Safeway,226008184,,,8.69,8.79
Wegmans,226008184,,8.79,,8.49
Trader Joes,226008184,,,8.19,8.29
Safeway,226080317,,,1.99,2.09
Trader Joes,226080317,,,,1.99
Walmart,226080317,2.22,1.91,,1.95
Whole Foods,226080317,,,1.99,
Wegmans,226080317,,2.09,1.99,1.99
Walmart,227635624,,6.42,,6.22
Trader Joes,227635624,,6.79,,6.59
Wegmans,227635624,,6.89,6.59,6.69
Whole Foods,227635624,8.49,7.49,1.99,7.29
Safeway,227635624,7.99,,6.79,6.89
Whole Foods,227818213,69.39,61.59,1.99,59.79
Walmart,227818213,,52.54,50.45,50.95
Wegmans,227818213,,56.49,,54.79
Trader Joes,227818213,,,,53.69
Safeway,227818213,,,55.89,56.49
Wegmans,228431403,,30.49,,29.59
Whole Foods,228431403,,33.29,1.99,32.29
Trader Joes,228431403,33.69,29.89,28.69,28.99
Safeway,228431403,,,30.19,30.49
Walmart,228431403,,28.42,27.34,27.55
Whole Foods,228591095,,,1.99,
Safeway,228591095,36.09,,,
Walmart,228591095,,28.92,27.82,28.07
Wegmans,228591095,,31.09,,30.19
Trader Joes,228591095,,,29.29,29.59
Safeway,229341656,,,39.19,39.59
Trader Joes,229341656,,,37.29,37.69
Wegmans,229341656,,39.59,,38.39
Whole Foods,229341656,48.69,43.19,1.99,41.89
Whole Foods,230451071,29.79,26.39,1.99,25.69
Safeway,230451071,,,23.99,24.19
Wegmans,230451071,,24.19,23.29,23.49
Walmart,230451071,,,,21.97
Trader Joes,230451071,,,,23.09
Whole Foods,234033889,,19.29,1.99,18.69
Walmart,234033889,,16.45,15.87,
Wegmans,234033889,,17.69,,17.19
Trader Joes,234033889,19.49,17.29,16.69,16.79
Safeway,234033889,,,17.49,17.69
Safeway,234070455,,,7.49,7.59
Wegmans,234070455,,7.59,,7.39
Whole Foods,234070455,9.29,8.29,,
Walmart,234070455,,7.14,,6.95
Trader Joes,234070455,8.39,,7.19,7.19
Safeway,236468029,,,4.89,4.89
Whole Foods,236468029,5.99,5.39,1.99,5.19
Walmart,236468029,,4.63,,4.46
Trader Joes,236468029,,,4.59,4.69
Wegmans,236468029,,4.89,4.69,4.79
Wegmans,236677062,,57.19,,55.49
Whole Foods,236677062,,62.39,,60.59
Walmart,236677062,59.97,53.23,51.16,51.67
Trader Joes,236677062,,,53.89,54.39
Safeway,236677062,,,56.59,57.19
Whole Foods,236968723,26.09,23.19,1.99,
Trader Joes,236968723,,20.79,,20.19
Walmart,236968723,,19.85,,
Safeway,236968723,24.69,,21.09,21.29
Wegmans,236968723,,21.29,,
Trader Joes,237280009,,,,36.69
Safeway,237280009,,,38.19,38.59
Wegmans,237280009,,38.59,37.09,37.49
Whole Foods,237280009,,42.09,1.99,
Walmart,237280009,,35.94,,34.8
Trader Joes,238245641,6.09,5.49,,5.29
Wegmans,238245641,,5.59,,5.39
Whole Foods,238245641,,6.09,1.99,5.89
Safeway,238245641,,,5.49,5.59
Whole Foods,238441424,,36.79,1.99,35.69
Trader Joes,238441424,,,31.79,32.09
Wegmans,238441424,,33.79,,32.79
Safeway,238441424,,,,33.79
Walmart,238441424,,31.43,30.2,30.56
Whole Foods,238497653,47.19,41.89,1.99,
Trader Joes,238497653,,,36.09,36.49
Safeway,238497653,,,37.99,38.39
Wegmans,238497653,,38.39,36.89,37.29
Walmart,238497653,40.24,35.71,,
Trader Joes,240879755,,,31.59,31.89
Safeway,240879755,38.99,,33.19,
Walmart,240879755,35.21,31.2,,30.34
Wegmans,240879755,,33.59,,32.59
Whole Foods,240879755,41.29,36.59,1.99,35.49
Safeway,240924482,38.49,,32.79,33.09
Wegmans,240924482,,,,32.09
Trader Joes,240924482,,,,31.49
Whole Foods,240924482,,36.09,1.99,
Walmart,240924482,34.71,30.81,29.6,
Safeway,242277190,,,52.49,53.09
Wegmans,242277190,,53.09,,51.49
Trader Joes,242277190,,,,50.49
Whole Foods,242277190,,57.89,1.99,56.19
Walmart,242277190,55.64,49.31,,
Safeway,242743338,,,44.49,44.89
Wegmans,242743338,,44.89,43.19,43.59
Walmart,242743338,47.16,,,
Trader Joes,242743338,,,42.29,42.69
Whole Foods,242743338,55.19,48.99,1.99,47.59
Safeway,243131192,,,2.39,
Walmart,243131192,2.65,2.32,2.22,2.23
Whole Foods,243131192,2.99,2.69,,
Wegmans,243131192,,2.39,,2.39
Trader Joes,243131192,,2.39,2.29,2.29
Walmart,243785066,,36.24,,
Whole Foods,243785066,,42.49,1.99,
Wegmans,243785066,,38.99,,37.79
Trader Joes,243785066,,,,37.09
Safeway,243785066,,,38.59,
Safeway,243934119,15.89,,13.59,13.69
Walmart,243934119,14.44,,,12.45
Trader Joes,243934119,15.09,,,
Wegmans,243934119,,13.69,,
Whole Foods,243934119,,14.99,1.99,
Trader Joes,244294577,,32.99,31.69,31.99
Safeway,244294577,,,33.29,33.69
Walmart,244294577,,31.34,30.17,
Wegmans,244294577,,33.69,,32.69
Whole Foods,244294577,,36.69,1.99,
Trader Joes,244899396,39.09,,,33.59
Safeway,244899396,,,34.99,35.39
Wegmans,244899396,,35.39,,34.29
Whole Foods,244899396,,,1.99,37.39
Wegmans,245619737,,23.39,,22.69
Safeway,245619737,27.09,,23.09,
Whole Foods,245619737,28.69,25.49,1.99,24.69
Trader Joes,245619737,,22.89,,22.19
Walmart,245619737,,21.71,20.92,21.13
Whole Foods,246582548,59.29,52.59,,
Safeway,246582548,,,47.69,
Walmart,246582548,,44.84,,
Wegmans,246582548,,48.19,46.29,46.79
Trader Joes,246582548,53.19,47.19,,45.79
Walmart,246585815,,,13.35,
Wegmans,246585815,,14.89,,14.39
Trader Joes,246585815,16.39,14.59,13.99,14.19
Whole Foods,246585815,18.29,16.19,1.99,15.79
Safeway,246585815,,,,14.89
Wegmans,248544810,,33.29,,32.29
Whole Foods,248544810,,,1.99,35.29
Walmart,248544810,34.94,31.05,29.87,
Trader Joes,248544810,,32.69,,31.69
Safeway,248544810,,,32.99,
Trader Joes,250622702,42.89,38.09,,36.99
Wegmans,250622702,,38.89,37.29,37.69
Whole Foods,250622702,47.79,42.39,1.99,41.09
Walmart,250622702,,36.1,34.7,35.17
Safeway,250622702,,,38.49,38.89
Wegmans,251180255,,13.89,13.39,13.49
Trader Joes,251180255,15.39,,,13.29
Whole Foods,251180255,,15.19,1.99,14.69
Walmart,251180255,,13.05,12.55,12.66
Safeway,251180255,,,,13.89
Walmart,252280717,,14.92,,
Trader Joes,252280717,17.69,15.69,,15.29
Whole Foods,252280717,19.69,,1.99,16.99
Safeway,252280717,18.59,,15.89,
Wegmans,252280717,,15.99,,15.59
Walmart,252888653,14.12,12.55,12.14,
Whole Foods,252888653,16.59,14.69,1.99,14.29
Trader Joes,252888653,,,12.69,12.79
Wegmans,252888653,,13.49,,13.09
Safeway,252888653,,,,13.49
Trader Joes,253141402,,35.19,,34.09
Whole Foods,253141402,44.09,39.19,1.99,37.99
Safeway,253141402,,,,35.89
Walmart,253141402,,,,32.42
Wegmans,253141402,,35.89,34.49,34.79
Safeway,254804864,,,57.89,58.49
Walmart,254804864,61.34,54.3,52.2,52.76
Trader Joes,254804864,,57.29,,55.59
Wegmans,254804864,,58.49,,56.69
Whole Foods,254804864,71.89,63.79,1.99,
Safeway,256001467,29.79,,25.39,25.69
Trader Joes,256001467,28.39,,24.19,
Walmart,256001467,26.97,,,
Wegmans,256001467,,25.69,,24.89
Whole Foods,256001467,,27.99,,
Trader Joes,256779462,30.69,,,26.49
Safeway,256779462,,,27.49,27.79
Walmart,256779462,29.12,25.93,,25.17
Whole Foods,256779462,,30.29,1.99,
Wegmans,256779462,,27.79,,26.99
Walmart,256906423,,9.44,,9.13
Whole Foods,256906423,,,1.99,10.69
Safeway,256906423,,,,10.09
Trader Joes,256906423,,,,9.59
Wegmans,256906423,,10.09,,9.79
Trader Joes,258597638,,41.09,,39.89
Wegmans,258597638,,41.99,40.29,40.69
Whole Foods,258597638,51.59,45.79,1.99,44.39
Safeway,258597638,,,41.49,
Walmart,258597638,,39.05,37.53,37.91
Whole Foods,259287413,,12.39,1.99,11.99
Wegmans,259287413,,11.29,,10.99
Safeway,259287413,,,,11.29
Walmart,259287413,,10.66,,
Trader Joes,259287413,,,,10.79
Wegmans,262051609,,24.29,23.29,23.59
Safeway,262051609,28.19,,23.99,
Walmart,262051609,,22.65,,
Trader Joes,262051609,26.79,23.79,,23.09
Whole Foods,262051609,29.79,26.49,1.99,25.69
Trader Joes,265077864,,9.19,8.89,8.99
Whole Foods,265077864,,10.29,1.99,
Wegmans,265077864,,9.39,8.99,9.09
Walmart,265077864,9.94,8.85,8.45,8.5
Safeway,265077864,,,9.29,
Walmart,265291556,,24.07,23.0,
Whole Foods,265291556,,28.09,1.99,
Wegmans,265291556,,25.79,,24.99
Safeway,265291556,,,,25.79
Trader Joes,265291556,28.49,25.29,,24.49
Wegmans,266112120,,4.69,,4.49
Walmart,266112120,,4.3,4.23,4.21
Trader Joes,266112120,5.09,,,4.39
Whole Foods,266112120,,5.09,1.99,
Safeway,266112120,,,4.59,4.69
Wegmans,266425823,,35.49,,
Safeway,266425823,,,35.09,35.49
Whole Foods,266425823,,38.69,1.99,
Trader Joes,266425823,,34.79,,33.79
Walmart,266425823,,33.02,31.75,
Safeway,266788198,,,,57.89
Whole Foods,266788198,71.09,63.09,1.99,
Wegmans,266788198,,57.89,55.59,56.19
Trader Joes,266788198,63.89,56.69,54.49,54.99
Walmart,266788198,,53.82,51.73,52.22
Wegmans,268588472,,23.79,,23.09
Trader Joes,268588472,,23.29,,22.59
Safeway,268588472,,,23.59,23.79
Whole Foods,268588472,29.29,25.99,1.99,
Walmart,268588472,24.95,22.13,,
Walmart,269161785,51.83,45.9,44.15,
Wegmans,269161785,,49.39,,47.99
Whole Foods,269161785,,53.89,1.99,
Trader Joes,269161785,54.59,48.39,46.49,46.99
Safeway,269161785,40.29,,48.89,49.39
Walmart,269567447,,,52.97,53.47
Wegmans,269567447,,59.19,56.89,57.49
Safeway,269567447,68.79,,58.59,59.19
Whole Foods,269567447,72.79,,1.99,
Trader Joes,269567447,65.39,,55.79,56.29
Walmart,270412866,,48.8,46.95,47.47
Safeway,270412866,,,51.99,52.49
Wegmans,270412866,,52.49,,50.89
Trader Joes,270412866,,,,49.89
Whole Foods,270412866,,57.29,1.99,
Walmart,271202170,33.64,,28.67,
Wegmans,271202170,,32.09,,31.09
Safeway,271202170,,,31.69,32.09
Trader Joes,271202170,,,,30.49
Whole Foods,271202170,39.39,34.99,1.99,
Walmart,272466316,,50.01,,48.51
Wegmans,272466316,,53.79,51.69,52.19
Safeway,272466316,,,53.19,53.79
Whole Foods,272466316,66.09,58.69,,56.89
Trader Joes,272466316,59.39,52.69,,51.09
Wegmans,273984951,,51.29,49.29,49.79
Safeway,273984951,59.59,,50.79,51.29
Walmart,273984951,53.8,,45.95,46.32
Whole Foods,273984951,63.09,55.99,1.99,54.39
Trader Joes,273984951,,,,48.79
Trader Joes,275219414,,45.49,,44.09
Whole Foods,275219414,57.09,50.59,1.99,49.09
Safeway,275219414,53.89,,45.99,
Walmart,275219414,48.62,43.15,,41.95
Wegmans,275219414,,46.39,44.59,45.09
Walmart,276263379,,39.61,38.11,
Trader Joes,276263379,,41.79,40.09,40.49
Whole Foods,276263379,52.39,,1.99,45.09
Safeway,276263379,,,42.19,42.59
Wegmans,276263379,,42.59,,41.39
Whole Foods,276801250,73.69,65.39,1.99,63.39
Walmart,276801250,,55.7,53.57,54.16
Safeway,276801250,,,59.29,59.89
Wegmans,276801250,,59.89,,58.19
Trader Joes,276801250,,58.69,,56.99
Safeway,277014097,32.49,,27.69,27.99
Trader Joes,277014097,,27.39,26.39,26.59
Walmart,277014097,,26.05,25.02,
Whole Foods,277014097,,30.49,1.99,29.59
Wegmans,277014097,,27.99,,27.19
Safeway,277132090,7.59,,6.49,6.49
Trader Joes,277132090,,6.39,,6.19
Wegmans,277132090,,6.49,,6.39
Whole Foods,277132090,,7.09,1.99,
Walmart,277132090,,6.11,5.96,
Wegmans,277394644,,21.29,20.49,20.69
Trader Joes,277394644,23.49,,,20.19
Whole Foods,277394644,,,,22.49
Walmart,277394644,22.3,19.85,19.04,19.2
Trader Joes,278001228,,13.39,12.89,12.99
Safeway,278001228,,,13.59,13.69
Walmart,278001228,,12.74,12.27,12.42
Wegmans,278001228,,,,13.29
Whole Foods,278001228,,14.89,1.99,
Safeway,278003538,,,,27.49
Wegmans,278003538,,27.49,26.39,
Walmart,278003538,28.83,25.55,24.66,
Whole Foods,278003538,33.79,29.99,1.99,
Trader Joes,278003538,,,,26.09
Wegmans,278354885,,17.29,16.69,16.79
Whole Foods,278354885,21.29,18.89,1.99,
Trader Joes,278354885,,16.99,16.29,16.49
Safeway,278354885,20.09,,17.19,
Walmart,278354885,18.25,16.12,15.55,15.74
Safeway,278739906,,,0.99,0.99
Whole Foods,278739906,1.19,1.09,1.99,
Walmart,278739906,,0.94,,0.97
